Dataset,Algorithm,Type,Run,Threads,Time,Metric,Best Iteration,Iterations,Eta,Leaves,Depth,Hessian,Subsample,Colsample_bytree,Training RAM 1st,Training RAM 25%,Training RAM 50%,Training RAM 75%,Total RAM,gc RAM
'bosch','xgboost-lossguide','hessian',2,3,680.8468,0.7250595,325,400,0.02,1023,10,5,1,1,4947255296,5206433792,5586534400,5632933888,5636730880,3451060224
'bosch','xgboost-lossguide','hessian',3,3,623.3683,0.7181565,308,400,0.02,1023,10,25,1,1,4367728640,4543590400,4783443968,4810891264,4804866048,3108417536
'bosch','xgboost-lossguide','hessian',4,3,530.0005,0.7036303,282,400,0.02,1023,10,125,1,1,3965034496,4131270656,4245745664,4246188032,4251152384,2889584640
'bosch','xgboost-lossguide','sampling',1,3,1002.172,0.7234308,684,1000,0.04,63,6,1,1,1,2730151936,2824237056,2825031680,2826510336,2837508096,2821251072
'bosch','xgboost-lossguide','sampling',2,3,924.1751,0.7216269,445,1000,0.04,63,6,1,0.8,1,3756056576,3882180608,3884523520,3885383680,3883917312,2811543552
'bosch','xgboost-lossguide','sampling',3,3,833.7759,0.7219472,552,1000,0.04,63,6,1,0.6,1,3726532608,3852894208,3857395712,3859128320,3884163072,2823327744
'bosch','xgboost-lossguide','sampling',4,3,739.3216,0.7132093,234,1000,0.04,63,6,1,0.4,1,3719565312,3841433600,3837730816,3855613952,3864117248,2790920192
'bosch','xgboost-depthwise','depth',1,3,1428.891,0.7134534,1999,2000,0.02,7,3,1,1,1,2574991360,2578690048,2587291648,2587045888,2589446144,2573189120
'bosch','xgboost-depthwise','depth',2,3,1124.334,0.7199073,1402,1500,0.02,15,4,1,1,1,3430211584,3436036096,3435712512,3436380160,3438903296,2609586176
'bosch','xgboost-depthwise','depth',3,3,880.2242,0.7198976,955,1000,0.02,31,5,1,1,1,3525074944,3544064000,3541770240,3545194496,3547099136,2682019840
'bosch','xgboost-depthwise','depth',4,3,995.3972,0.7223834,723,1000,0.02,63,6,1,1,1,3655127040,3750604800,3751751680,3752742912,3747700736,2819371008
'bosch','xgboost-depthwise','depth',5,3,641.6014,0.7191517,399,500,0.02,127,7,1,1,1,3844304896,3946758144,4091162624,4090245120,4092133376,3018870784
'bosch','xgboost-depthwise','depth',6,3,620.4351,0.7250211,328,400,0.02,255,8,1,1,1,4107030528,4295057408,4480638976,4517494784,4502265856,3253616640
'bosch','xgboost-depthwise','depth',7,3,723.4178,0.7248398,391,400,0.02,511,9,1,1,1,4384563200,4697956352,4995624960,5007794176,4992503808,3516575744
'bosch','xgboost-depthwise','depth',8,3,801.1692,0.7228884,308,400,0.02,1023,10,1,1,1,4727046144,5191917568,5695332352,5697314816,5688700928,3953410048
'bosch','xgboost-depthwise','depth',9,3,920.3231,0.7272562,343,400,0.02,2047,11,1,1,1,5266141184,5788975104,6380371968,6521606144,6518198272,4329013248
